customer_id,subscription_tier,monthly_fee,tenure_months,num_transactions,avg_transaction_value,active_users,churned,customer_support_tickets,region,marketing_channel,monthly_revenue
50,Pro,10.0,32.0,380,434.13,12,1,16,,Partnership,120
51,Pro,50.0,49.0,354,229.7,40,0,15,Europe,Partnership,2000
52,Basic,50.0,35.0,350,411.61,17,1,2,North America,,850
53,Pro,10.0,44.0,393,279.56,15,0,13,,Organic,150
54,Basic,250.0,38.0,405,320.36,42,1,9,Europe,Referral,10500
55,Pro,100.0,26.0,454,265.51,15,0,6,Africa,Referral,1500
56,Enterprise,100.0,11.0,434,234.27,15,0,16,,Paid Ads,1500
57,Enterprise,25.0,35.0,170,,39,0,5,North America,Organic,975
58,Basic,250.0,8.0,187,155.08,13,0,3,Africa,Referral,3250
59,Enterprise,50.0,46.0,126,148.54,17,0,16,Europe,Partnership,850
60,,10.0,14.0,205,283.83,32,0,8,Africa,Partnership,320
61,Pro,25.0,10.0,392,64.38,9,0,3,Asia,Organic,225
62,Basic,100.0,2.0,499,458.81,40,0,6,North America,Partnership,4000
63,Pro,50.0,46.0,336,361.72,20,1,1,Asia,,1000
64,Pro,,9.0,95,203.72,26,0,16,Africa,Referral,1300
65,,10.0,3.0,298,83.52,27,0,7,North America,Referral,270
66,Pro,100.0,21.0,90,441.59,21,0,14,Asia,Referral,2100
67,Pro,250.0,26.0,161,412.77,18,0,14,Asia,,4500
68,Pro,50.0,8.0,70,362.25,13,0,7,Europe,Partnership,650
69,Pro,10.0,48.0,70,139.42,16,0,15,North America,Paid Ads,160
70,Basic,250.0,2.0,363,,9,0,18,Asia,Organic,2250
71,Enterprise,100.0,6.0,37,55.86,12,1,10,Asia,Referral,1200
72,Pro,50.0,28.0,451,98.57,44,1,1,Europe,Paid Ads,2200
73,Pro,,53.0,52,392.59,38,0,16,Asia,,9500
74,,250.0,29.0,178,358.94,19,1,15,Asia,,4750
75,Pro,250.0,26.0,432,298.78,7,0,14,Asia,Organic,1750
76,Pro,50.0,25.0,95,448.38,35,0,12,Europe,Referral,1750
77,Pro,50.0,,186,293.72,48,0,14,Asia,Paid Ads,2400
78,,25.0,5.0,26,236.15,18,0,3,Asia,Referral,450
79,Enterprise,100.0,,107,173.48,16,0,15,North America,Partnership,1600
80,Pro,,48.0,463,470.52,39,0,11,North America,Referral,390
81,,250.0,37.0,207,45.94,4,0,3,Europe,Organic,1000
82,Basic,,15.0,107,465.79,25,0,2,Africa,Paid Ads,625
83,Pro,10.0,44.0,74,,32,0,16,North America,Organic,320
84,Basic,25.0,36.0,339,69.32,40,0,17,Europe,Partnership,1000
85,Basic,50.0,15.0,350,284.67,13,0,17,,Referral,650
86,,250.0,43.0,14,433.94,45,0,16,Asia,Organic,11250
87,Enterprise,10.0,48.0,11,288.05,17,0,11,Europe,Organic,170
88,Basic,10.0,23.0,31,454.06,49,0,3,Asia,Organic,490
89,Pro,,6.0,121,471.78,37,1,11,Asia,Organic,370
90,Basic,,46.0,66,,6,0,19,Africa,Partnership,60
91,Basic,10.0,50.0,75,191.77,19,0,14,Asia,Partnership,190
92,Basic,25.0,44.0,339,468.48,13,0,15,North America,Referral,325
93,Basic,250.0,59.0,107,,26,0,4,Asia,Referral,6500
94,Enterprise,50.0,43.0,153,62.43,14,0,14,Europe,Paid Ads,700
95,Basic,50.0,45.0,377,25.93,31,0,16,Africa,Partnership,1550
96,,50.0,21.0,444,284.49,4,0,17,Asia,Organic,200
97,Basic,50.0,23.0,134,465.43,39,0,4,Europe,Organic,1950
98,Enterprise,25.0,43.0,176,422.9,8,0,12,North America,Paid Ads,200
99,Basic,100.0,55.0,95,339.54,25,0,18,,Organic,2500
100,Basic,,16.0,85,73.86,13,0,12,,Paid Ads,3250
101,Enterprise,10.0,47.0,353,130.84,32,0,17,,Referral,320
102,Enterprise,100.0,,433,438.38,38,0,13,Europe,Partnership,3800
103,Enterprise,50.0,15.0,303,95.49,38,0,3,Africa,Paid Ads,1900
104,Basic,100.0,25.0,453,142.83,28,0,3,Asia,Organic,2800
105,Enterprise,250.0,36.0,68,69.15,30,0,19,North America,Paid Ads,7500
106,Enterprise,10.0,11.0,147,339.67,3,0,19,Africa,Referral,30
107,Basic,10.0,51.0,108,472.27,28,0,18,North America,Organic,280
108,Enterprise,250.0,,201,138.14,3,1,12,Europe,,750
109,Basic,250.0,4.0,252,240.33,45,0,11,Asia,Referral,11250
110,Pro,50.0,21.0,328,319.0,34,1,6,North America,Paid Ads,1700
111,Enterprise,10.0,13.0,58,499.74,16,0,11,Europe,Referral,160
112,Pro,100.0,22.0,457,56.88,22,0,3,,Organic,2200
113,Basic,25.0,,41,251.79,32,0,1,Europe,Referral,800
114,Enterprise,25.0,34.0,400,195.63,38,0,1,North America,Referral,950
115,Basic,250.0,14.0,286,433.58,8,0,4,Europe,,2000
116,Pro,50.0,4.0,29,240.6,8,0,9,Africa,Referral,400
117,Basic,25.0,,163,59.93,6,0,9,,,150
118,,,53.0,392,319.04,14,0,8,Europe,Paid Ads,140
119,Enterprise,250.0,,77,386.54,32,0,12,North America,Paid Ads,8000
120,Pro,100.0,46.0,375,6.43,35,1,6,Asia,Organic,3500
121,Basic,250.0,,381,430.18,10,0,4,Africa,Organic,2500
122,Enterprise,100.0,29.0,223,97.08,3,0,9,Asia,Organic,300
123,Pro,250.0,,152,,12,0,9,,Organic,3000
124,Enterprise,250.0,28.0,385,210.82,49,0,5,Asia,Partnership,12250
125,Enterprise,250.0,,241,361.23,31,0,18,Europe,Paid Ads,7750
126,Basic,100.0,8.0,222,188.72,29,1,7,Europe,Referral,2900
127,,100.0,16.0,88,435.53,5,0,0,,Organic,500
128,Basic,250.0,42.0,223,366.6,25,0,16,Africa,Organic,6250
129,Enterprise,25.0,36.0,125,,41,0,6,North America,Organic,1025
130,Pro,50.0,30.0,101,,31,1,13,Europe,Referral,1550
131,Enterprise,50.0,,279,378.24,21,0,16,Africa,Organic,1050
132,Basic,50.0,2.0,420,22.79,20,0,8,North America,Referral,1000
133,Basic,,49.0,390,200.39,39,1,16,North America,Paid Ads,3900
134,Pro,100.0,13.0,498,465.75,22,0,4,North America,Paid Ads,2200
135,Enterprise,25.0,4.0,177,67.23,4,1,19,,Paid Ads,100
136,Enterprise,50.0,,67,,13,0,7,North America,Partnership,650
137,Pro,50.0,25.0,293,487.42,45,0,5,Africa,Referral,2250
138,Enterprise,250.0,30.0,35,30.84,42,0,10,North America,Organic,10500
139,Enterprise,,11.0,378,342.69,49,0,18,Africa,Organic,4900
140,,50.0,7.0,456,236.74,20,1,3,North America,,1000
141,Enterprise,25.0,31.0,75,291.69,13,0,17,Europe,,325
142,Enterprise,25.0,44.0,418,47.24,17,0,0,Europe,Partnership,425
143,Pro,50.0,,257,26.29,36,0,12,North America,Organic,1800
144,Pro,100.0,39.0,263,335.1,33,0,13,Asia,Partnership,3300
145,Basic,25.0,13.0,396,412.54,1,0,0,Europe,Referral,25
146,Enterprise,250.0,31.0,465,392.1,15,0,10,Africa,Paid Ads,3750
147,Enterprise,25.0,7.0,53,274.18,13,0,16,North America,,325
148,,,56.0,106,54.43,17,0,3,Africa,Paid Ads,170
149,Basic,10.0,49.0,51,345.58,24,0,11,,Referral,240
150,Basic,100.0,42.0,236,124.73,8,0,9,North America,Referral,800
151,Pro,50.0,42.0,271,455.98,27,0,5,Europe,Organic,1350
152,Basic,100.0,56.0,176,419.94,45,1,0,Africa,Referral,4500
153,Enterprise,100.0,36.0,445,,23,1,6,Europe,Paid Ads,2300
154,Enterprise,100.0,20.0,288,474.68,46,0,15,,Organic,4600
155,Basic,100.0,4.0,98,20.55,8,0,13,North America,Partnership,800
156,,250.0,54.0,388,369.42,8,0,19,Africa,Organic,2000
157,Enterprise,250.0,7.0,187,168.47,26,0,19,Asia,Paid Ads,6500
158,,25.0,54.0,436,453.5,47,0,5,Europe,Organic,1175
159,Basic,10.0,1.0,412,137.0,13,0,4,North America,Organic,130
160,Enterprise,,,206,363.8,39,0,17,North America,Paid Ads,3900
161,Enterprise,25.0,,316,439.44,37,1,14,Asia,,925
162,Enterprise,10.0,45.0,276,25.62,49,0,5,North America,Organic,490
163,Pro,50.0,42.0,277,201.84,28,0,18,Europe,,1400
164,Pro,250.0,47.0,83,382.34,25,0,0,North America,,6250
165,Pro,,59.0,17,230.18,16,0,0,Africa,Paid Ads,160
166,Basic,50.0,13.0,417,137.29,2,1,12,Africa,Organic,100
167,Pro,10.0,55.0,485,113.8,18,0,2,Europe,Partnership,180
168,Basic,250.0,22.0,306,,17,0,9,Africa,Partnership,4250
169,,,54.0,173,429.28,30,0,2,Asia,Paid Ads,7500
170,Pro,25.0,21.0,494,289.8,39,0,8,North America,Partnership,975
171,Pro,,22.0,94,,13,0,7,Europe,Organic,1300
172,Pro,10.0,28.0,81,,32,1,2,Asia,Organic,320
173,Enterprise,10.0,9.0,64,187.03,29,1,12,North America,Paid Ads,290
174,Pro,50.0,26.0,402,94.96,46,0,5,Asia,Organic,2300
175,Enterprise,250.0,9.0,56,220.58,30,0,12,Europe,Referral,7500
176,Basic,10.0,15.0,408,169.39,18,1,19,Europe,Organic,180
177,Enterprise,250.0,,441,174.19,13,0,19,Asia,Paid Ads,3250
178,Pro,10.0,24.0,247,370.82,43,0,11,North America,Referral,430
179,Basic,25.0,58.0,113,115.52,21,0,12,Africa,Referral,525
180,Basic,,57.0,219,322.72,30,0,1,Africa,Partnership,3000
181,Basic,10.0,42.0,51,287.47,21,0,15,Asia,Organic,210
182,Enterprise,250.0,8.0,325,286.21,48,0,5,Europe,Paid Ads,12000
183,Pro,25.0,24.0,477,333.19,17,0,18,North America,Partnership,425
184,,10.0,16.0,463,276.45,40,0,12,North America,Partnership,400
185,,50.0,49.0,277,440.23,19,0,16,Europe,Organic,950
186,,100.0,,395,339.41,15,1,8,Africa,Organic,1500
187,Enterprise,10.0,27.0,272,275.75,9,1,16,,Paid Ads,90
188,Enterprise,,37.0,345,415.73,10,1,1,Asia,Partnership,250
189,Pro,50.0,4.0,396,305.04,44,0,18,Africa,Paid Ads,2200
190,Enterprise,25.0,50.0,374,149.12,31,0,18,Asia,Partnership,775
191,Basic,25.0,24.0,268,107.51,23,0,6,Africa,Partnership,575
192,Pro,50.0,19.0,292,80.4,30,0,9,,Partnership,1500
193,Basic,25.0,36.0,123,450.23,33,0,9,Asia,Organic,825
194,Basic,50.0,39.0,372,,9,0,19,Asia,Partnership,450
195,Enterprise,10.0,10.0,49,469.0,47,0,8,Europe,Partnership,470
196,Pro,50.0,25.0,495,,1,1,16,Asia,Partnership,50
197,Enterprise,50.0,18.0,426,239.33,44,0,14,,Referral,2200
198,Enterprise,100.0,19.0,229,34.56,35,0,1,North America,Organic,3500
199,Pro,50.0,36.0,138,337.46,11,0,3,North America,,550
200,Basic,50.0,10.0,17,293.19,34,1,18,Europe,Organic,1700
201,Basic,10.0,33.0,110,495.15,16,0,16,Africa,Paid Ads,160
202,Pro,100.0,55.0,425,123.38,9,1,4,Asia,Referral,900
203,Basic,250.0,50.0,389,267.71,32,1,6,Asia,Paid Ads,8000
204,Pro,10.0,5.0,185,327.22,15,0,17,North America,Partnership,150
205,Pro,10.0,47.0,116,324.07,12,0,6,Asia,,120
206,Enterprise,250.0,49.0,110,282.84,33,0,16,North America,Paid Ads,8250
207,Pro,50.0,35.0,269,389.58,45,0,6,Europe,Paid Ads,2250
208,Enterprise,25.0,44.0,487,106.47,14,0,3,Asia,Paid Ads,350
209,Basic,100.0,34.0,463,364.19,8,0,7,Africa,Organic,800
210,Basic,25.0,,375,311.77,8,1,12,Asia,Referral,200
211,Basic,250.0,55.0,255,448.56,27,1,3,North America,Organic,6750
212,,10.0,21.0,284,424.36,12,0,5,Europe,Organic,120
213,Enterprise,10.0,17.0,41,161.0,1,0,4,North America,Organic,10
214,Basic,100.0,22.0,146,141.74,43,0,11,Asia,Paid Ads,4300
215,Pro,10.0,48.0,21,490.92,40,0,3,North America,Organic,400
216,Pro,10.0,37.0,404,266.0,42,0,8,North America,Referral,420
217,Pro,100.0,15.0,311,,11,0,3,Europe,Organic,1100
218,Enterprise,100.0,35.0,384,86.12,39,0,18,Africa,Partnership,3900
219,Basic,250.0,28.0,25,323.2,43,0,13,Asia,Paid Ads,10750
220,Basic,10.0,7.0,138,405.88,31,1,4,Europe,Partnership,310
221,Basic,10.0,32.0,72,473.96,17,0,17,Africa,Referral,170
222,,250.0,11.0,118,,33,0,9,North America,Referral,8250
223,Pro,50.0,10.0,384,363.87,32,0,18,Africa,Referral,1600
224,Pro,50.0,9.0,30,271.71,29,0,11,North America,Referral,1450
225,Basic,50.0,14.0,167,35.01,21,0,17,North America,Organic,1050
226,Pro,250.0,13.0,278,346.55,21,0,16,,,5250
227,Pro,10.0,57.0,171,346.6,40,0,10,North America,Referral,400
228,Enterprise,250.0,25.0,269,465.65,23,0,2,Europe,,5750
229,Enterprise,250.0,2.0,421,251.17,6,0,16,,Referral,1500
230,Enterprise,50.0,,111,,22,0,0,,Paid Ads,1100
231,Enterprise,25.0,7.0,232,27.06,38,0,14,North America,Partnership,950
232,Basic,10.0,21.0,68,210.74,37,1,8,Europe,Partnership,370
233,Enterprise,50.0,18.0,256,154.45,45,0,14,North America,Partnership,2250
234,Pro,25.0,3.0,137,381.74,8,1,2,Europe,Organic,200
235,Basic,25.0,42.0,292,180.36,41,0,18,Europe,Referral,1025
236,Pro,100.0,54.0,334,474.79,49,1,12,,Organic,4900
237,Pro,10.0,39.0,34,481.34,35,0,11,Africa,Partnership,350
238,Pro,25.0,41.0,140,312.35,11,0,19,Europe,Organic,275
239,,,49.0,362,464.69,24,0,0,Africa,Organic,1200
240,Enterprise,,11.0,205,381.62,49,0,16,Europe,Organic,4900
241,Basic,10.0,39.0,290,275.7,21,0,12,Africa,Referral,210
242,Basic,,24.0,413,94.25,2,0,0,Asia,Partnership,500
243,Enterprise,50.0,46.0,427,232.01,40,0,9,Africa,Partnership,2000
244,Pro,25.0,19.0,163,282.63,19,0,14,Africa,Referral,475
245,Basic,25.0,4.0,391,432.66,39,0,6,North America,Organic,975
246,Enterprise,50.0,26.0,142,,28,0,17,Europe,Organic,1400
247,Enterprise,25.0,,236,449.35,17,0,15,Asia,,425
248,Enterprise,100.0,42.0,198,338.8,6,0,13,North America,Paid Ads,600
249,Pro,10.0,32.0,485,72.81,19,0,17,Europe,Paid Ads,190
250,Enterprise,,39.0,486,497.52,38,1,6,Asia,Referral,3800
251,Enterprise,25.0,45.0,274,265.98,28,0,16,Asia,Partnership,700
252,Enterprise,250.0,46.0,381,198.97,2,0,17,Asia,Paid Ads,500
253,Enterprise,10.0,,495,331.26,38,1,11,Europe,Partnership,380
254,Basic,10.0,40.0,443,,37,0,7,Asia,Partnership,370
255,Basic,50.0,37.0,143,320.09,4,0,1,Asia,Partnership,200
256,Enterprise,50.0,,220,251.63,22,0,6,North America,Referral,1100
257,Pro,250.0,36.0,69,206.3,26,0,3,Africa,Referral,6500
258,Basic,10.0,3.0,437,476.74,49,0,17,Europe,Referral,490
259,Enterprise,250.0,9.0,386,263.66,43,0,5,Africa,Referral,10750
260,,50.0,8.0,404,113.46,36,0,8,North America,Paid Ads,1800
261,Basic,50.0,33.0,459,232.19,13,1,8,,Organic,650
262,Pro,10.0,59.0,440,460.1,32,0,13,Asia,,320
263,Enterprise,100.0,6.0,373,92.17,17,0,7,Asia,Organic,1700
264,Enterprise,25.0,41.0,373,110.91,41,0,18,Europe,Paid Ads,1025
265,Pro,50.0,39.0,466,11.45,36,0,2,Europe,Organic,1800
266,Pro,,4.0,222,12.02,46,0,17,Europe,Paid Ads,2300
267,Enterprise,100.0,13.0,225,415.55,19,0,4,North America,Paid Ads,1900
268,Enterprise,100.0,49.0,235,367.4,35,1,13,Europe,Paid Ads,3500
269,Pro,250.0,2.0,479,180.75,46,1,3,North America,Organic,11500
270,Basic,250.0,5.0,140,350.66,40,0,6,,Partnership,10000
271,Basic,,44.0,85,200.63,28,0,19,Africa,Organic,700
272,Pro,25.0,27.0,485,476.68,1,0,11,Asia,Organic,25
273,Basic,10.0,,295,483.69,42,0,1,Asia,Referral,420
274,Pro,250.0,,483,199.43,18,0,10,,Paid Ads,4500
275,Basic,50.0,8.0,286,427.84,48,0,13,Europe,Partnership,2400
276,Basic,250.0,38.0,165,387.68,40,0,15,,Referral,10000
277,Enterprise,50.0,8.0,257,158.45,33,0,19,Europe,Partnership,1650
278,Enterprise,100.0,50.0,227,,12,1,5,Africa,Partnership,1200
279,Basic,250.0,3.0,199,231.83,8,0,3,Europe,Paid Ads,2000
280,Basic,100.0,,426,,24,0,14,North America,Organic,2400
281,Enterprise,25.0,44.0,478,480.28,16,0,0,Asia,Paid Ads,400
282,Enterprise,25.0,58.0,172,382.97,4,0,6,Africa,Paid Ads,100
283,Enterprise,10.0,3.0,189,428.33,38,0,11,Africa,Referral,380
284,Pro,,,43,303.52,44,0,9,Africa,Paid Ads,11000
285,Basic,,,50,418.53,27,0,4,,Organic,2700
286,Enterprise,50.0,2.0,316,393.29,9,0,11,Africa,Partnership,450
287,Basic,,23.0,440,191.61,47,0,17,North America,Paid Ads,1175
288,,25.0,44.0,347,278.24,16,0,9,Asia,Partnership,400
289,Pro,50.0,,323,403.35,12,0,5,Africa,,600
290,Enterprise,,,84,27.8,31,1,11,Asia,Partnership,3100
291,Pro,,17.0,450,405.0,24,0,6,Europe,Paid Ads,2400
292,Basic,250.0,35.0,288,93.05,14,0,17,Africa,Referral,3500
293,Enterprise,250.0,34.0,185,259.77,45,0,1,Africa,Partnership,11250
294,Basic,10.0,23.0,393,405.1,25,0,9,Asia,Paid Ads,250
295,Basic,25.0,30.0,159,,34,0,14,Africa,,850
296,Pro,250.0,52.0,282,126.67,3,0,11,Africa,Referral,750
297,Pro,100.0,8.0,334,204.37,24,0,16,Africa,Referral,2400
298,Pro,50.0,,117,447.85,42,1,3,North America,Referral,2100
299,Pro,100.0,44.0,148,5.22,9,0,6,North America,Partnership,900
300,Pro,25.0,58.0,359,451.18,26,0,8,Africa,Partnership,650
301,Enterprise,100.0,36.0,280,81.13,20,0,18,North America,,2000
302,Basic,10.0,5.0,356,495.09,40,0,6,Europe,Organic,400
303,Basic,25.0,13.0,428,477.65,10,0,1,Africa,Organic,250
304,Basic,50.0,29.0,298,249.86,19,0,5,Europe,Paid Ads,950
305,Basic,10.0,31.0,221,258.8,3,0,17,Asia,Organic,30
306,Pro,25.0,47.0,390,243.37,24,0,5,Europe,Paid Ads,600
307,Basic,50.0,57.0,281,,5,0,12,Asia,Partnership,250
308,Enterprise,10.0,55.0,427,49.91,3,0,18,Africa,Partnership,30
309,,10.0,16.0,75,21.15,27,0,1,Asia,Organic,270
310,Basic,25.0,42.0,492,33.56,16,0,11,Asia,Partnership,400
311,Basic,250.0,30.0,433,224.96,49,1,14,Europe,Referral,12250
312,Enterprise,10.0,57.0,257,,15,0,13,Europe,Referral,150
313,Enterprise,10.0,55.0,165,312.91,35,0,5,Europe,,350
314,Pro,50.0,16.0,56,496.26,12,0,17,Africa,Organic,600
315,,100.0,12.0,432,,41,0,4,Africa,Paid Ads,4100
316,Pro,,17.0,463,289.05,44,0,17,Europe,Partnership,1100
317,Pro,25.0,16.0,210,210.72,26,1,2,Africa,Paid Ads,650
318,Pro,250.0,12.0,157,424.4,47,0,2,Africa,Paid Ads,11750
319,Pro,250.0,8.0,133,451.61,34,0,9,Asia,Referral,8500
320,Pro,25.0,20.0,10,439.29,23,0,18,Asia,Referral,575
321,Basic,250.0,3.0,465,487.31,31,0,2,Europe,Referral,7750
322,Enterprise,50.0,16.0,256,18.62,20,0,11,Africa,Referral,1000
323,,25.0,30.0,352,420.71,12,0,15,Asia,Paid Ads,300
324,Enterprise,250.0,45.0,137,377.13,23,0,16,North America,Referral,5750
325,Enterprise,25.0,23.0,200,118.2,4,0,6,Africa,,100
326,Pro,100.0,28.0,76,478.38,23,0,12,North America,,2300
327,Basic,10.0,51.0,13,78.35,48,0,1,Europe,Referral,480
328,Pro,25.0,40.0,451,341.38,48,0,3,Africa,Referral,1200
329,Basic,10.0,54.0,418,116.32,1,0,9,Europe,,10
330,Enterprise,,5.0,312,218.53,25,0,6,Europe,Partnership,6250
331,Basic,,,303,360.98,2,0,16,Europe,Partnership,20
332,Basic,25.0,40.0,152,283.85,30,0,19,Europe,Paid Ads,750
333,Basic,100.0,56.0,200,216.61,3,0,5,Europe,Paid Ads,300
334,Enterprise,250.0,44.0,30,166.54,21,0,18,Africa,Referral,5250
335,,25.0,1.0,236,420.63,25,0,4,North America,Organic,625
336,Basic,250.0,57.0,322,76.19,20,0,9,Africa,Paid Ads,5000
337,Basic,,30.0,126,217.9,49,1,8,Africa,Paid Ads,2450
338,Pro,10.0,21.0,446,452.36,22,0,12,Africa,Referral,220
339,Basic,50.0,20.0,311,423.7,21,0,18,Asia,Referral,1050
340,Pro,25.0,6.0,151,203.47,33,0,5,Asia,Paid Ads,825
341,Basic,100.0,22.0,493,382.74,38,0,3,Africa,Paid Ads,3800
342,,250.0,18.0,469,,15,0,2,North America,Partnership,3750
343,Enterprise,10.0,8.0,410,,46,0,2,Africa,Organic,460
344,Basic,250.0,39.0,48,274.53,15,0,3,Europe,Partnership,3750
345,Basic,25.0,32.0,402,106.21,46,0,4,Asia,Paid Ads,1150
346,Basic,250.0,33.0,364,131.38,25,0,7,Asia,Partnership,6250
347,,10.0,53.0,261,151.37,21,0,15,Africa,Partnership,210
348,Pro,25.0,16.0,342,298.93,24,0,2,Africa,Paid Ads,600
349,Basic,250.0,12.0,216,21.24,5,0,11,North America,Referral,1250
350,Enterprise,100.0,38.0,219,319.84,6,1,7,North America,,600
351,Enterprise,25.0,52.0,124,185.36,49,0,12,Europe,Referral,1225
352,Basic,25.0,34.0,234,151.14,43,0,3,Africa,Paid Ads,1075
353,Enterprise,100.0,14.0,143,440.35,48,0,13,Africa,Paid Ads,4800
354,,50.0,36.0,260,,44,0,13,Africa,,2200
355,Basic,10.0,33.0,228,52.05,47,0,12,Asia,Organic,470
356,Enterprise,50.0,23.0,416,,23,0,5,Europe,Referral,1150
357,Basic,250.0,50.0,452,28.58,4,0,16,,Organic,1000
358,Enterprise,100.0,45.0,100,364.74,27,0,3,Asia,Paid Ads,2700
359,,50.0,2.0,363,388.08,18,0,7,Asia,Partnership,900
360,Basic,25.0,41.0,385,179.54,21,1,16,Asia,Organic,525
361,Pro,250.0,21.0,55,413.27,28,0,2,Asia,Referral,7000
362,Enterprise,250.0,2.0,47,260.25,35,0,16,Europe,Paid Ads,8750
363,Pro,50.0,27.0,151,234.33,22,0,8,Africa,Organic,1100
364,Pro,50.0,57.0,109,27.47,40,0,1,North America,Partnership,2000
365,Enterprise,100.0,9.0,337,148.56,23,0,12,North America,Organic,2300
366,Pro,10.0,1.0,199,465.85,3,0,19,Asia,Referral,30
367,Pro,50.0,11.0,44,198.95,40,0,1,Asia,Organic,2000
368,Enterprise,50.0,3.0,156,275.62,10,1,19,Europe,Partnership,500
369,Pro,25.0,52.0,39,268.35,25,1,10,Asia,Partnership,625
370,Enterprise,250.0,23.0,343,297.26,49,1,14,North America,Referral,12250
371,Pro,10.0,26.0,93,35.36,8,0,10,North America,Partnership,80
372,Enterprise,25.0,4.0,378,184.28,11,0,2,Africa,Paid Ads,275
373,Enterprise,100.0,18.0,290,362.95,5,0,2,Africa,Partnership,500
374,,100.0,55.0,433,104.28,45,0,11,North America,Paid Ads,4500
375,Pro,50.0,,353,105.77,37,0,4,North America,Organic,1850
376,Pro,50.0,35.0,279,9.99,45,0,19,Europe,Paid Ads,2250
377,Basic,100.0,22.0,163,221.55,38,0,6,Europe,,3800
378,Basic,50.0,43.0,111,441.95,29,0,6,North America,Organic,1450
379,Basic,10.0,15.0,224,30.69,5,0,12,Asia,Partnership,50
380,Enterprise,50.0,22.0,159,99.6,9,1,8,Africa,Paid Ads,450
381,Pro,250.0,37.0,441,158.49,48,0,12,North America,Partnership,12000
382,Enterprise,50.0,52.0,92,367.2,2,0,11,Asia,Organic,100
